patch,offset,limit,count-ms,lookup-mus,results
0,16,10,10,12,10
1,16,10,1763,2408,10
2,16,10,16,776,10
3,16,10,15,782,10
4,16,10,15,781,10
5,16,10,17,27257,10
6,16,10,16,12012,10
7,16,10,16,463,10
8,16,10,15,461,10
9,16,10,14,457,10
