versionstart,versionend,ms
0,0,5.0
0,1,2.7692307692307687
0,2,3.0
0,3,2.384615384615384
0,4,2.615384615384616
0,5,2.307692307692308
0,6,2.6923076923076925
0,7,2.230769230769231
0,8,2.3846153846153846
0,9,2.230769230769231
0,10,2.230769230769231
0,11,2.076923076923077
0,12,1.923076923076923
0,13,2.1538461538461537
0,14,2.3846153846153846
0,15,2.1538461538461537
0,16,2.1538461538461537
0,17,2.3076923076923075
0,18,2.076923076923077
0,19,2.1538461538461537
0,20,2.3846153846153846
0,21,2.076923076923077
0,22,2.0
0,23,2.3076923076923075
0,24,2.3076923076923075
0,25,2.0
0,26,2.230769230769231
0,27,2.3076923076923075
0,28,2.3076923076923075
0,29,2.1538461538461537
0,30,2.3846153846153846
0,31,2.230769230769231
0,32,2.3076923076923075
0,33,2.0
0,34,2.230769230769231
0,35,2.3076923076923075
0,36,2.3076923076923075
0,37,2.230769230769231
0,38,2.0
0,39,2.3846153846153846
0,40,2.0
0,41,2.1538461538461537
0,42,2.076923076923077
0,43,1.8461538461538463
0,44,2.1538461538461537
0,45,2.3076923076923075
0,46,2.076923076923077
0,47,3.3846153846153846
0,48,2.1538461538461537
0,49,2.3076923076923075
0,50,2.230769230769231
0,51,2.0
0,52,4.153846153846154
0,53,2.1538461538461537
0,54,2.3076923076923075
0,55,2.3846153846153846
0,56,2.3846153846153846
0,57,2.4615384615384617
0,58,2.076923076923077
0,59,2.230769230769231
0,60,2.230769230769231
0,61,2.3076923076923075
0,62,2.3846153846153846
0,63,2.4615384615384617
0,64,2.3076923076923075
0,65,2.3076923076923075
0,66,2.3846153846153846
0,67,2.230769230769231
0,68,2.4615384615384617
0,69,2.5384615384615383
0,70,2.3846153846153846
0,71,2.3846153846153846
0,72,2.3846153846153846
0,73,2.4615384615384617
0,74,2.4615384615384617
0,75,2.4615384615384617
0,76,2.5384615384615383
0,77,2.3076923076923075
0,78,2.5384615384615383
0,79,2.1538461538461537
0,80,2.6153846153846154
0,81,2.3846153846153846
0,82,2.3846153846153846
0,83,2.1538461538461537
0,84,2.076923076923077
0,85,2.3846153846153846
0,86,2.1538461538461537
0,87,2.1538461538461537
0,88,2.230769230769231
