##ver, min, mean, max, stddev, count, total
0 0.0 0.4600000000000001 3.0 0.6455499158682863 50 23.0
1 0.0 0.4799999999999998 3.0 0.6464976285134146 50 24.0
2 0.0 0.42000000000000004 3.0 0.6727949622466641 50 21.0
3 0.0 0.54 4.0 0.7615773105863906 50 27.0
4 0.0 0.7600000000000002 4.0 0.7969328960560775 50 38.0
5 0.0 0.9200000000000002 7.0 1.259089402087469 50 46.0
6 0.0 2.660000000000001 85.0 11.934532300198864 50 133.0
7 0.0 0.9200000000000002 5.0 1.1036118809044555 50 46.0
8 0.0 1.1800000000000002 6.0 1.1551128578133465 50 59.0
9 0.0 1.3199999999999998 8.0 1.5177857126049639 50 66.0
