##ver, min, mean, max, stddev, count, total
0 0.0 1.6521739130434787 11.0 1.8404998270922406 46 76.0
1 0.0 1.847826086956522 8.0 1.646105050034412 46 85.0
2 0.0 2.217391304347826 8.0 1.5479454982978191 46 102.0
3 0.0 2.5652173913043477 11.0 1.916619407104818 46 118.0
4 0.0 3.2826086956521743 15.0 2.762149271678455 46 151.0
5 0.0 3.7391304347826084 15.0 3.0363339196303136 46 172.0
6 0.0 4.304347826086956 15.0 3.2854532257438587 46 198.0
7 1.0 5.130434782608695 31.0 5.123404665095158 46 236.0
8 1.0 7.869565217391302 123.0 17.75713777693313 46 362.0
9 0.0 8.652173913043478 126.0 18.178396691683048 46 398.0
