##ver, min, mean, max, stddev, count, total
0 0.0 1.2000000000000002 6.0 1.0301575072754252 50 60.0
1 0.0 1.4400000000000002 6.0 1.0909647481163884 50 72.0
2 0.0 1.58 6.0 1.1082252773268266 50 79.0
3 0.0 2.0 7.0 1.324802642213672 50 100.0
4 0.0 2.3800000000000003 10.0 1.8170395298565254 50 119.0
5 0.0 2.72 10.0 2.04080816324898 50 136.0
6 0.0 2.9799999999999995 9.0 2.0151467258069857 50 149.0
7 0.0 3.32 12.0 2.226372541574646 50 166.0
8 1.0 5.559999999999999 93.0 12.8827681142569 50 278.0
9 1.0 4.220000000000001 14.0 2.901723625709383 50 211.0
