##ver, min, mean, max, stddev, count, total
0 0.0 0.5200000000000002 6.0 1.0149896953332354 50 26.0
1 0.0 0.42000000000000004 3.0 0.64174506986332 50 21.0
2 0.0 0.5200000000000002 3.0 0.7068181072487412 50 26.0
3 0.0 0.6000000000000002 4.0 0.8329931278350428 50 30.0
4 0.0 0.8799999999999998 5.0 1.0811935959099719 50 44.0
5 0.0 0.74 5.0 1.1747340124470735 50 37.0
6 0.0 1.0800000000000005 8.0 1.6015298808276015 50 54.0
7 0.0 1.1399999999999997 7.0 1.3998542198152961 50 57.0
8 0.0 1.2999999999999996 8.0 1.5551100755055178 50 65.0
9 0.0 1.7000000000000002 16.0 2.719918966379968 50 85.0
