##ver, min, mean, max, stddev, count, total
0 0.0 1.2307692307692308 4.0 1.091928428198338 13 16.0
1 0.0 1.6153846153846154 5.0 1.4455945454184547 13 21.0
2 1.0 1.6153846153846154 4.0 1.0439078454267836 13 21.0
3 0.0 1.7692307692307692 5.0 1.4232501627054275 13 23.0
4 1.0 2.153846153846154 6.0 1.5191090506254996 13 28.0
5 1.0 2.307692307692308 7.0 1.797434068545834 13 30.0
6 1.0 2.5384615384615383 6.0 1.6641005886756872 13 33.0
7 1.0 2.923076923076923 9.0 2.4311018921995866 13 38.0
8 2.0 3.307692307692308 8.0 2.0970064133034736 13 43.0
9 2.0 4.692307692307692 14.0 4.190954851117172 13 61.0
