##ver, min, mean, max, stddev, count, total
0 0.0 0.5116279069767442 3.0 0.6680495071209637 43 22.0
1 0.0 0.5581395348837208 3.0 0.7336252313452997 43 24.0
2 0.0 0.5813953488372093 3.0 0.76321868985847 43 25.0
3 0.0 0.8139534883720932 4.0 0.7944993617872828 43 35.0
4 0.0 0.9069767441860466 5.0 0.9713503974799134 43 39.0
5 0.0 1.0232558139534884 5.0 1.0798671014576897 43 44.0
6 0.0 1.2093023255813953 7.0 1.4235793174564246 43 52.0
7 0.0 1.2325581395348835 7.0 1.3244443453464796 43 53.0
8 0.0 1.1627906976744184 6.0 1.2897071014499575 43 50.0
9 0.0 1.3953488372093026 7.0 1.545185069570894 43 60.0
