##ver, min, mean, max, stddev, count, total
0 0.0 1.2399999999999998 8.0 1.3785529236359781 50 62.0
1 0.0 1.5 8.0 1.1473127431577865 50 75.0
2 1.0 1.8199999999999998 8.0 1.240309375494185 50 91.0
3 1.0 2.1399999999999997 9.0 1.3094632020606833 50 107.0
4 1.0 2.42 8.0 1.1264899430695041 50 121.0
5 2.0 3.06 11.0 1.8780145834125492 50 153.0
6 2.0 3.2000000000000006 10.0 1.64130361329658 50 160.0
7 2.0 3.84 13.0 1.9098028533792466 50 192.0
8 2.0 4.200000000000001 15.0 2.203892660077358 50 210.0
9 3.0 6.419999999999999 97.0 13.285084470478733 50 321.0
