patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,674,690,0
1,0,-2,675,670,0
2,0,-2,676,669,0
3,0,-2,676,670,0
4,0,-2,17645,668,0
5,0,-2,12,6,0
6,0,-2,13577,1031,0
7,0,-2,1035,1030,0
8,0,-2,5858,810,0
9,0,-2,7705,904,0
