patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,5,116,55
1,0,-2,1071,2101,55
2,0,-2,968,1891,45
3,0,-2,1007,1918,43
4,0,-2,1043,1955,41
5,0,-2,1010,1913,46
6,0,-2,1010,1905,43
7,0,-2,1010,1915,45
8,0,-2,1011,1888,45
9,0,-2,1027,1884,39
