patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,3,112,61
1,0,-2,1258,2344,61
2,0,-2,1110,2069,54
3,0,-2,1113,2075,57
4,0,-2,1111,2073,56
5,0,-2,1113,2057,48
6,0,-2,1116,2074,47
7,0,-2,1109,2055,49
8,0,-2,1113,2068,51
9,0,-2,1114,2092,54
