version,ms,offset
9,0.018,2
9,0.017,4
9,0.016,8
9,0.016,16
9,0.016,32
9,0.016,64
9,0.016,128
9,0.023,256
9,0.023,512
9,0.022,1024
9,0.015,2048
9,0.021,4096
