patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,6,2,6,6,5,1,7,7,7
0,500,2,3,3,5,7,0,0,0,0
1,0,610,256,1215,707,707,1,7,7,7
1,500,557,545,543,542,542,0,0,0,0
2,0,511,232,642,641,641,1,7,7,7
2,500,516,490,491,491,490,0,0,0,0
3,0,518,231,641,642,642,1,7,7,7
3,500,516,491,490,490,492,0,0,0,0
4,0,518,232,641,640,641,1,7,7,7
4,500,516,492,493,493,491,0,0,0,0
5,0,515,232,643,642,641,1,7,7,7
5,500,515,495,492,493,491,0,0,0,0
6,0,518,233,642,642,641,1,7,7,7
6,500,516,493,492,493,491,0,0,0,0
7,0,515,233,643,642,641,1,7,7,7
7,500,518,493,494,494,494,0,0,0,0
8,0,518,233,643,642,643,1,7,7,7
8,500,516,492,1543,493,492,0,0,0,0
9,0,516,233,644,643,642,1,7,7,7
9,500,517,496,494,494,498,0,0,0,0
