version,added,durationms,rate,accsize,durationmin,accsizegb
00,360,16,22,25486,0.000266667,2.37357e-05
01,168,24,7,9937202,0.0004,0.00925474
02,113,72,1,9938071,0.0012,0.00925555
03,41,89,0,9938279,0.00148333,0.00925574
04,34,112,0,9938425,0.00186667,0.00925588
05,37,186,0,9938678,0.0031,0.00925612
06,47,121,0,9938881,0.00201667,0.0092563
07,47,116,0,9939035,0.00193333,0.00925645
08,29,127,0,9939178,0.00211667,0.00925658
09,41,152,0,9939411,0.00253333,0.0092568
010,25,152,0,9939521,0.00253333,0.0092569
011,25,160,0,9939610,0.00266667,0.00925698
012,31,131,0,9939774,0.00218333,0.00925714
013,1650,229,7,9964876,0.00381667,0.00928051
014,1225,778,1,9803818,0.0129667,0.00913052
015,1469,1220,1,9826392,0.0203333,0.00915154
016,1433,1527,0,10084189,0.02545,0.00939163
017,1058,1832,0,10091483,0.0305333,0.00939843
018,1364,2081,0,10169348,0.0346833,0.00947094
019,1311,2277,0,10176136,0.03795,0.00947727
020,1062,2563,0,10181514,0.0427167,0.00948227
021,25,2787,0,10182252,0.04645,0.00948296
022,1483,2658,0,10193221,0.0443,0.00949318
023,1573,2961,0,10204326,0.04935,0.00950352
024,1230,3347,0,10210683,0.0557833,0.00950944
025,1323,3509,0,10223359,0.0584833,0.00952125
026,1513,3752,0,10238306,0.0625333,0.00953517
027,1531,4145,0,10608441,0.0690833,0.00987988
028,1717,4392,0,10477246,0.0732,0.0097577
029,1453,4714,0,10751408,0.0785667,0.010013
030,1637,4919,0,10763834,0.0819833,0.0100246
031,1282,5278,0,10772903,0.0879667,0.010033
032,1474,5642,0,10788001,0.0940333,0.0100471
033,1273,5984,0,10801728,0.0997333,0.0100599
034,1221,6203,0,10812825,0.103383,0.0100702
035,1398,6456,0,10822104,0.1076,0.0100789
036,1137,6647,0,10833502,0.110783,0.0100895
037,1315,6846,0,10846719,0.1141,0.0101018
038,1505,7108,0,11399376,0.118467,0.0106165
039,1517,7277,0,11417077,0.121283,0.010633
040,1271,7643,0,11426207,0.127383,0.0106415
041,1304,7933,0,11435879,0.132217,0.0106505
042,1248,8190,0,11445084,0.1365,0.0106591
043,1132,8344,0,11456207,0.139067,0.0106694
044,1199,8611,0,11478212,0.143517,0.0106899
045,1193,8878,0,11489322,0.147967,0.0107003
046,1083,9157,0,11499340,0.152617,0.0107096
047,1123,9434,0,11509516,0.157233,0.0107191
048,1028,9704,0,11518838,0.161733,0.0107278
049,1116,9985,0,11530395,0.166417,0.0107385
050,1033,10301,0,12350444,0.171683,0.0115022
051,964,10494,0,12359165,0.1749,0.0115104
052,1134,10825,0,12368962,0.180417,0.0115195
053,1010,11148,0,12378620,0.1858,0.0115285
054,1030,11423,0,12783773,0.190383,0.0119058
055,1035,11625,0,12793866,0.19375,0.0119152
056,974,11890,0,12803155,0.198167,0.0119239
057,716,12089,0,12810373,0.201483,0.0119306
058,125,12195,0,12815521,0.20325,0.0119354
059,1401,12330,0,12831642,0.2055,0.0119504
060,974,13002,0,13000963,0.2167,0.0121081
061,1021,12911,0,13448782,0.215183,0.0125252
062,1057,13113,0,13459403,0.21855,0.012535
063,875,13338,0,13469319,0.2223,0.0125443
064,1012,13536,0,13479631,0.2256,0.0125539
065,1111,13803,0,13490624,0.23005,0.0125641
066,976,14101,0,13501752,0.235017,0.0125745
067,903,13972,0,14994364,0.232867,0.0139646
068,776,14084,0,15002858,0.234733,0.0139725
069,820,13519,0,15012988,0.225317,0.0139819
070,860,13843,0,15022107,0.230717,0.0139904
071,771,14487,0,15030566,0.24145,0.0139983
072,813,14272,0,15038967,0.237867,0.0140061
073,881,14438,0,15047702,0.240633,0.0140143
074,1021,14441,0,15058246,0.240683,0.0140241
075,971,14715,0,15066995,0.24525,0.0140322
076,900,14949,0,15075135,0.24915,0.0140398
077,839,15216,0,15083320,0.2536,0.0140474
078,820,15322,0,15091198,0.255367,0.0140548
079,958,15554,0,15101180,0.259233,0.0140641
080,808,16354,0,17955081,0.272567,0.016722
081,859,16524,0,17964153,0.2754,0.0167304
082,833,16091,0,17975113,0.268183,0.0167406
083,837,16237,0,17984432,0.270617,0.0167493
084,751,16267,0,17991977,0.271117,0.0167563
085,773,16505,0,18000561,0.275083,0.0167643
086,742,16766,0,18008964,0.279433,0.0167722
087,781,16840,0,18017227,0.280667,0.0167799
088,0,16921,0,18022267,0.282017,0.0167845
