<version>,<mean_time>,<total>
0,0.192653,9.44
1,0.178102,8.727
2,0.177367,8.691
3,0.18351,8.992
4,0.177041,8.675
5,0.182959,8.965
6,0.180694,8.854
7,0.182612,8.948
8,0.183265,8.98
9,0.179367,8.789
10,0.183184,8.976
11,0.183163,8.975
12,0.185796,9.104
13,0.18602,9.115
14,0.206408,10.114
15,0.213122,10.443
16,0.221082,10.833
17,0.229082,11.225
18,0.230367,11.288
19,0.239388,11.73
20,0.245041,12.007
21,0.250306,12.265
22,0.251918,12.344
23,0.256408,12.564
24,0.262694,12.872
25,0.269245,13.193
26,0.275122,13.481
27,0.281592,13.798
28,0.285122,13.971
29,0.297,14.553
30,0.296184,14.513
31,0.306592,15.023
32,0.30602,14.995
33,0.31449,15.41
34,0.316898,15.528
35,0.321388,15.748
36,0.326531,16
37,0.332469,16.291
38,0.334776,16.404
39,0.342163,16.766
40,0.346571,16.982
41,0.351163,17.207
42,0.360878,17.683
43,0.36149,17.713
44,0.363571,17.815
45,0.374041,18.328
46,0.375837,18.416
47,0.382673,18.751
48,0.385082,18.869
49,0.392061,19.211
50,0.391796,19.198
51,0.398449,19.524
52,0.401306,19.664
53,0.403898,19.791
54,0.406,19.894
55,0.410633,20.121
56,0.416755,20.421
57,0.418429,20.503
58,0.423429,20.748
59,0.417388,20.452
60,0.419694,20.565
61,0.426776,20.912
62,0.428571,21
63,0.434245,21.278
64,0.437878,21.456
65,0.440735,21.596
66,0.444184,21.765
67,0.450163,22.058
68,0.452592,22.177
69,0.45198,22.147
70,0.454755,22.283
71,0.454796,22.285
72,0.462245,22.65
73,0.461041,22.591
74,0.463939,22.733
75,0.463653,22.719
76,0.470184,23.039
77,0.473653,23.209
78,0.478224,23.433
79,0.479082,23.475
80,0.483429,23.688
81,0.487816,23.903
82,0.489898,24.005
83,0.496612,24.334
84,0.501,24.549
85,0.502816,24.638
86,0.502755,24.635
87,0.503367,24.665
