version,added,durationms,rate,accsize,durationmin,accsizegb
00,545,7497,0,16554714,0.12495,0.0154178
01,100,7416,0,16551694,0.1236,0.015415
02,85,7452,0,16550939,0.1242,0.0154143
03,28,7391,0,16550354,0.123183,0.0154137
04,29,7422,0,16550121,0.1237,0.0154135
05,28,7324,0,16549985,0.122067,0.0154134
06,27,6672,0,16549769,0.1112,0.0154132
07,27,7332,0,14012607,0.1222,0.0130503
08,24,7441,0,14012352,0.124017,0.01305
09,29,7381,0,14012176,0.123017,0.0130499
010,20,7449,0,14011939,0.12415,0.0130496
011,16,7462,0,14011819,0.124367,0.0130495
012,26,7492,0,14011662,0.124867,0.0130494
013,1472,7303,0,14011492,0.121717,0.0130492
014,1087,7048,0,14002155,0.117467,0.0130405
015,1298,6793,0,13995071,0.113217,0.0130339
016,1297,6493,0,13947830,0.108217,0.0129899
017,951,6298,0,12515429,0.104967,0.0116559
018,1208,6093,0,12508787,0.10155,0.0116497
019,1149,5907,0,12502091,0.09845,0.0116435
020,943,5715,0,12495756,0.09525,0.0116376
021,20,5701,0,12469900,0.0950167,0.0116135
022,1306,5539,0,12469742,0.0923167,0.0116134
023,1431,5228,0,12459278,0.0871333,0.0116036
024,1067,5029,0,11498037,0.0838167,0.0107084
025,1156,4825,0,11480062,0.0804167,0.0106916
026,1322,4574,0,11467827,0.0762333,0.0106802
027,1361,4297,0,11454221,0.0716167,0.0106676
028,1530,3954,0,11445444,0.0659,0.0106594
029,1243,3602,0,10759877,0.0600333,0.0100209
030,1384,3284,0,10748645,0.0547333,0.0100105
031,1125,3076,0,10738007,0.0512667,0.0100005
032,1324,2843,0,10731283,0.0473833,0.00999429
033,1097,2551,0,10718268,0.0425167,0.00998216
034,1048,2347,0,10522695,0.0391167,0.00980002
035,1209,2090,0,10513803,0.0348333,0.00979174
036,1009,1917,0,10126167,0.03195,0.00943073
037,1072,1710,0,10116621,0.0285,0.00942184
038,1281,1447,0,10105221,0.0241167,0.00941122
039,1295,1134,1,10095274,0.0189,0.00940196
040,1126,906,1,10079475,0.0151,0.00938724
041,1140,648,1,10010914,0.0108,0.00932339
042,1080,401,2,9966170,0.00668333,0.00928172
043,998,73,13,9925724,0.00121667,0.00924405
044,0,1,0,2121,1.66667e-05,1.97534e-06
045,953,136,7,25212395,0.00226667,0.0234809
046,1009,417,2,25241805,0.00695,0.0235083
047,919,617,1,25265343,0.0102833,0.0235302
048,970,847,1,25284884,0.0141167,0.0235484
049,895,979,0,25307844,0.0163167,0.0235698
050,957,1202,0,25316518,0.0200333,0.0235778
051,876,1419,0,25351298,0.02365,0.0236102
052,828,1523,0,25357033,0.0253833,0.0236156
053,930,1677,0,25364203,0.02795,0.0236223
054,889,1884,0,25371211,0.0314,0.0236288
055,888,2066,0,25380657,0.0344333,0.0236376
056,873,2215,0,25387594,0.0369167,0.023644
057,819,2325,0,25484541,0.03875,0.0237343
058,606,2492,0,25489131,0.0415333,0.0237386
059,98,2568,0,25491445,0.0428,0.0237408
060,1214,2638,0,25505122,0.0439667,0.0237535
061,821,2877,0,25512604,0.04795,0.0237605
062,815,3013,0,25521060,0.0502167,0.0237683
063,879,3178,0,25529904,0.0529667,0.0237766
064,747,3299,0,25538305,0.0549833,0.0237844
065,819,3908,0,25546904,0.0651333,0.0237924
066,876,4213,0,25556787,0.0702167,0.0238016
067,790,4477,0,25902707,0.0746167,0.0241238
068,736,4531,0,25911160,0.0755167,0.0241316
069,640,4802,0,25918472,0.0800333,0.0241385
070,691,4872,0,25927004,0.0812,0.0241464
071,705,5172,0,25935098,0.0862,0.0241539
072,629,5265,0,25942355,0.08775,0.0241607
073,672,5371,0,25949400,0.0895167,0.0241673
074,728,5663,0,25956819,0.0943833,0.0241742
075,890,5840,0,25966088,0.0973333,0.0241828
076,753,5928,0,25973424,0.0988,0.0241896
077,759,5828,0,25980381,0.0971333,0.0241961
078,694,6305,0,25987625,0.105083,0.0242029
079,674,6127,0,26359064,0.102117,0.0245488
080,802,6120,0,26367682,0.102,0.0245568
081,701,6690,0,26375495,0.1115,0.0245641
082,725,6823,0,26383486,0.113717,0.0245715
083,693,6952,0,26392998,0.115867,0.0245804
084,688,6906,0,26401569,0.1151,0.0245884
085,601,7193,0,26408212,0.119883,0.0245946
086,633,6856,0,26919350,0.114267,0.0250706
087,623,7153,0,26926604,0.119217,0.0250774
088,652,7566,0,26933608,0.1261,0.0250839
