version,added,durationms,rate,accsize,durationmin,accsizegb
0,0,1,0,2121,1.66667e-05,1.97534e-06
1,545,47,11,9918482,0.000783333,0.00923731
2,100,216,0,9919617,0.0036,0.00923836
3,85,234,0,9928644,0.0039,0.00924677
4,28,250,0,9928863,0.00416667,0.00924697
5,29,247,0,9937201,0.00411667,0.00925474
6,28,257,0,9937527,0.00428333,0.00925504
7,27,250,0,9937756,0.00416667,0.00925526
8,27,256,0,9937911,0.00426667,0.0092554
9,24,253,0,9736326,0.00421667,0.00906766
10,29,241,0,9950595,0.00401667,0.00926721
11,20,245,0,9950716,0.00408333,0.00926733
12,16,251,0,9950810,0.00418333,0.00926741
13,26,252,0,9950980,0.0042,0.00926757
14,1472,353,4,9972326,0.00588333,0.00928745
15,1087,690,1,9996713,0.0115,0.00931016
16,1298,972,1,10008365,0.0162,0.00932102
17,1297,1301,0,10017771,0.0216833,0.00932978
18,951,1477,0,10131678,0.0246167,0.00943586
19,1208,1675,0,10172550,0.0279167,0.00947393
20,1149,1893,0,10179331,0.03155,0.00948024
21,943,2068,0,10209242,0.0344667,0.0095081
22,20,2203,0,10209973,0.0367167,0.00950878
23,1306,2258,0,10221066,0.0376333,0.00951911
24,1431,2519,0,10232166,0.0419833,0.00952945
25,1067,2728,0,10238386,0.0454667,0.00953524
26,1156,2937,0,10251207,0.04895,0.00954718
27,1322,3150,0,10266114,0.0525,0.00956106
28,1361,3391,0,10275897,0.0565167,0.00957017
29,1530,3740,0,10750189,0.0623333,0.0100119
30,1243,4040,0,10763443,0.0673333,0.0100242
31,1384,4247,0,10775787,0.0707833,0.0100357
32,1125,4524,0,10784812,0.0754,0.0100441
33,1324,4771,0,10861266,0.0795167,0.0101153
34,1097,4998,0,10874972,0.0833,0.0101281
35,1048,5162,0,10886345,0.0860333,0.0101387
36,1209,5374,0,10895605,0.0895667,0.0101473
37,1009,5573,0,10906933,0.0928833,0.0101579
38,1072,5716,0,10920270,0.0952667,0.0101703
39,1281,5952,0,11485052,0.0992,0.0106963
40,1295,6202,0,11502719,0.103367,0.0107127
41,1126,6467,0,11511911,0.107783,0.0107213
42,1140,6675,0,11521537,0.11125,0.0107303
43,1080,6890,0,11530680,0.114833,0.0107388
44,998,78,12,20892569,0.0013,0.0194577
45,953,368,2,20937601,0.00613333,0.0194997
46,1009,610,1,20967939,0.0101667,0.0195279
47,919,783,1,20975505,0.01305,0.019535
48,970,971,0,20983363,0.0161833,0.0195423
49,895,1164,0,21023142,0.0194,0.0195793
50,957,1347,0,21032368,0.02245,0.0195879
51,876,1502,0,21059413,0.0250333,0.0196131
52,828,1697,0,21065563,0.0282833,0.0196188
53,930,1854,0,21089890,0.0309,0.0196415
54,889,2034,0,21097238,0.0339,0.0196483
55,888,2186,0,21106852,0.0364333,0.0196573
56,873,2306,0,21114328,0.0384333,0.0196643
57,819,2452,0,21121491,0.0408667,0.0196709
58,606,3126,0,21126485,0.0521,0.0196756
59,98,3216,0,21128989,0.0536,0.0196779
60,1214,3128,0,21225452,0.0521333,0.0197677
61,821,3590,0,21233637,0.0598333,0.0197754
62,815,3779,0,21242504,0.0629833,0.0197836
63,879,3959,0,21571118,0.0659833,0.0200897
64,747,4056,0,21579875,0.0676,0.0200978
65,819,4097,0,21589278,0.0682833,0.0201066
66,876,4392,0,21599428,0.0732,0.020116
67,790,4461,0,21609268,0.07435,0.0201252
68,736,4807,0,21618165,0.0801167,0.0201335
69,640,4892,0,21625495,0.0815333,0.0201403
70,691,4682,0,21634620,0.0780333,0.0201488
71,705,5074,0,21642820,0.0845667,0.0201564
72,629,5227,0,21650302,0.0871167,0.0201634
73,672,5098,0,21657188,0.0849667,0.0201698
74,728,5566,0,21664832,0.0927667,0.0201769
75,890,5557,0,21674334,0.0926167,0.0201858
76,753,5579,0,21682005,0.0929833,0.0201929
77,759,5635,0,21689089,0.0939167,0.0201995
78,694,6102,0,21696266,0.1017,0.0202062
79,674,6040,0,21703287,0.100667,0.0202128
80,802,6184,0,21711878,0.103067,0.0202208
81,701,6373,0,22199133,0.106217,0.0206746
82,725,6203,0,22207221,0.103383,0.0206821
83,693,6339,0,22606242,0.10565,0.0210537
84,688,6835,0,22614819,0.113917,0.0210617
85,601,7078,0,22621463,0.117967,0.0210679
86,633,7089,0,22628682,0.11815,0.0210746
87,623,6916,0,22636095,0.115267,0.0210815
88,652,7092,0,22627593,0.1182,0.0210736
