version,added,durationms,rate,accsize,durationmin,accsizegb
0,1078,7951,0,31536812,0.132517,0.0293709
1,188,7850,0,31533780,0.130833,0.0293681
2,158,7737,0,31533046,0.12895,0.0293674
3,44,7661,0,31532467,0.127683,0.0293669
4,46,7709,0,31532233,0.128483,0.0293667
5,44,8193,0,31532100,0.13655,0.0293666
6,42,7926,0,31531883,0.1321,0.0293664
7,42,7776,0,30185125,0.1296,0.0281121
8,36,7822,0,30184881,0.130367,0.0281119
9,46,7829,0,27096319,0.130483,0.0252354
10,28,7886,0,27096079,0.131433,0.0252352
11,20,8148,0,27095959,0.1358,0.0252351
12,40,8147,0,27095798,0.135783,0.0252349
13,2932,8165,0,27095639,0.136083,0.0252348
14,2162,7832,0,27086177,0.130533,0.025226
15,2584,7619,0,27079180,0.126983,0.0252195
16,2582,7227,0,27069000,0.12045,0.02521
17,1890,7058,0,25001464,0.117633,0.0232844
18,2404,6827,0,24994738,0.113783,0.0232782
19,2286,6591,0,24988151,0.10985,0.023272
20,1874,6257,0,24982151,0.104283,0.0232664
21,28,6491,0,24976451,0.108183,0.0232611
22,2600,6394,0,24976246,0.106567,0.0232609
23,2850,6056,0,24052572,0.100933,0.0224007
24,2122,5859,0,24041505,0.09765,0.0223904
25,2300,5634,0,24031611,0.0939,0.0223812
26,2631,5438,0,22950610,0.0906333,0.0213744
27,2707,5071,0,22936990,0.0845167,0.0213617
28,3046,4671,0,22911801,0.07785,0.0213383
29,2470,4290,0,22898207,0.0715,0.0213256
30,2754,4005,0,22174176,0.06675,0.0206513
31,2234,3575,0,22155701,0.0595833,0.0206341
32,2634,3110,0,22148633,0.0518333,0.0206275
33,2178,2538,0,21914091,0.0423,0.0204091
34,2081,2270,0,21813062,0.0378333,0.020315
35,2402,2008,1,21803987,0.0334667,0.0203065
36,2004,1799,1,21535478,0.0299833,0.0200565
37,2128,1552,1,21525879,0.0258667,0.0200475
38,2548,1273,2,21359013,0.0212167,0.0198921
39,2574,964,2,21341482,0.0160667,0.0198758
40,2238,702,3,21252135,0.0117,0.0197926
41,2264,443,5,21245585,0.00738333,0.0197865
42,2160,157,13,21181150,0.00261667,0.0197265
