<version>,<mean_time>,<total>
284,0.495918,24.3
285,0.495612,24.285
286,0.496571,24.332
287,0.500184,24.509
288,0.495714,24.29
289,0.498816,24.442
290,0.499612,24.481
291,0.504347,24.713
292,0.499163,24.459
293,0.500653,24.532
294,0.503041,24.649
295,0.506122,24.8
296,0.509449,24.963
297,0.512,25.088
298,0.50951,24.966
299,0.511082,25.043
300,0.510755,25.027
301,0.514918,25.231
302,0.509408,24.961
303,0.512041,25.09
304,0.512673,25.121
305,0.519204,25.441
306,0.520327,25.496
307,0.526327,25.79
308,0.522857,25.62
309,0.524286,25.69
310,0.522551,25.605
311,0.52602,25.775
312,0.525694,25.759
313,0.534694,26.2
314,0.531857,26.061
315,0.526551,25.801
316,0.527367,25.841
317,0.536041,26.266
318,0.535429,26.236
319,0.533122,26.123
320,0.532653,26.1
321,0.538367,26.38
322,0.536857,26.306
323,0.544388,26.675
324,0.545633,26.736
325,0.545612,26.735
326,0.541061,26.512
327,0.546755,26.791
328,0.545204,26.715
329,0.548755,26.889
330,0.54702,26.804
331,0.547694,26.837
332,0.549633,26.932
333,0.549939,26.947
334,0.553041,27.099
335,0.555633,27.226
336,0.555918,27.24
337,0.556122,27.25
338,0.557245,27.305
339,0.559163,27.399
340,0.562184,27.547
341,0.557571,27.321
342,0.564265,27.649
343,0.562796,27.577
344,0.565816,27.725
345,0.569347,27.898
346,0.573184,28.086
347,0.572857,28.07
348,0.570286,27.944
349,0.571612,28.009
350,0.571755,28.016
351,0.569735,27.917
352,0.576592,28.253
353,0.573939,28.123
354,0.583,28.567
355,0.577286,28.287
356,0.584898,28.66
357,0.582367,28.536
358,0.586102,28.719
359,0.583449,28.589
360,0.587878,28.806
361,0.585918,28.71
362,0.590755,28.947
363,0.587245,28.775
364,0.591837,29
365,0.592408,29.028
366,0.596163,29.212
367,0.594571,29.134
368,0.594898,29.15
369,0.595122,29.161
370,0.598592,29.331
371,0.595816,29.195
372,0.596306,29.219
373,0.597653,29.285
374,0.605551,29.672
375,0.600653,29.432
376,0.607592,29.772
377,0.605,29.645
378,0.606449,29.716
379,0.60451,29.621
380,0.610633,29.921
381,0.612184,29.997
382,0.610633,29.921
383,0.612265,30.001
384,0.612408,30.008
385,0.612796,30.027
386,0.615,30.135
387,0.620735,30.416
388,0.621265,30.442
389,0.62149,30.453
390,0.620265,30.393
391,0.617755,30.27
392,0.625898,30.669
393,0.626388,30.693
394,0.620939,30.426
395,0.62249,30.502
396,0.626735,30.71
397,0.631347,30.936
398,0.630184,30.879
399,0.637306,31.228
400,0.637612,31.243
401,0.639408,31.331
402,0.637898,31.257
403,0.641408,31.429
404,0.674245,33.038
405,0.644469,31.579
406,0.644939,31.602
407,0.642408,31.478
408,0.648184,31.761
409,0.649408,31.821
410,0.64649,31.678
411,0.65449,32.07
412,0.651694,31.933
413,0.652367,31.966
414,0.656531,32.17
415,0.656367,32.162
416,0.658102,32.247
417,0.655082,32.099
418,0.655735,32.131
419,0.653612,32.027
420,0.661286,32.403
421,0.660755,32.377
422,0.665694,32.619
423,0.661592,32.418
424,0.662837,32.479
425,0.667714,32.718
426,0.668286,32.746
427,0.669449,32.803
428,0.67102,32.88
429,0.664816,32.576
430,0.668673,32.765
431,0.667816,32.723
432,0.674224,33.037
433,0.672306,32.943
434,0.67151,32.904
435,0.672102,32.933
436,0.682918,33.463
437,0.677898,33.217
438,0.678102,33.227
439,0.683714,33.502
440,0.679939,33.317
441,0.684347,33.533
442,0.682551,33.445
443,0.685959,33.612
444,0.691041,33.861
445,0.688531,33.738
446,0.692306,33.923
447,0.699265,34.264
448,0.704327,34.512
449,0.701265,34.362
450,0.707796,34.682
451,0.703204,34.457
452,0.708673,34.725
453,0.707367,34.661
454,0.706204,34.604
455,0.715531,35.061
456,0.711041,34.841
457,0.714776,35.024
458,0.706898,34.638
459,0.715714,35.07
460,0.715531,35.061
461,0.718306,35.197
462,0.718776,35.22
463,0.720265,35.293
464,0.714571,35.014
465,0.715429,35.056
466,0.721204,35.339
467,0.720898,35.324
468,0.721796,35.368
469,0.725204,35.535
470,0.722449,35.4
471,0.726163,35.582
472,0.727898,35.667
473,0.726347,35.591
474,0.730265,35.783
475,0.726265,35.587
476,0.731143,35.826
477,0.729265,35.734
478,0.732388,35.887
479,0.733184,35.926
480,0.736755,36.101
481,0.737755,36.15
482,0.738878,36.205
483,0.73998,36.259
484,0.741531,36.335
485,0.739429,36.232
486,0.741265,36.322
487,0.741224,36.32
488,0.741571,36.337
489,0.74498,36.504
490,0.747816,36.643
491,0.755143,37.002
492,0.754122,36.952
493,0.754551,36.973
494,0.75398,36.945
495,0.757408,37.113
496,0.754551,36.973
497,0.759714,37.226
498,0.759714,37.226
499,0.762082,37.342
500,0.760163,37.248
501,0.764694,37.47
502,0.762408,37.358
503,0.769735,37.717
504,0.76751,37.608
505,0.772,37.828
506,0.76949,37.705
507,0.771,37.779
508,0.772388,37.847
509,0.778286,38.136
510,0.775245,37.987
511,0.777388,38.092
512,0.777959,38.12
513,0.776224,38.035
514,0.777796,38.112
515,0.78349,38.391
516,0.783408,38.387
517,0.781857,38.311
518,0.787367,38.581
519,0.785184,38.474
520,0.787469,38.586
521,0.792449,38.83
522,0.787694,38.597
523,0.789918,38.706
524,0.791959,38.806
525,0.797735,39.089
526,0.794449,38.928
527,0.792633,38.839
528,0.798122,39.108
529,0.794776,38.944
530,0.794122,38.912
531,0.796102,39.009
532,0.79551,38.98
533,0.793612,38.887
534,0.798082,39.106
535,0.796878,39.047
536,0.807653,39.575
537,0.803898,39.391
538,0.809163,39.649
539,0.806796,39.533
540,0.815939,39.981
541,0.807735,39.579
542,0.812571,39.816
543,0.810408,39.71
544,0.813347,39.854
545,0.817816,40.073
546,0.81798,40.081
547,0.818612,40.112
548,0.819388,40.15
549,0.821347,40.246
550,0.817878,40.076
551,0.828939,40.618
552,0.830265,40.683
553,0.83198,40.767
554,0.831347,40.736
555,0.832531,40.794
556,0.836714,40.999
557,0.833327,40.833
558,0.836429,40.985
559,0.833633,40.848
560,0.839694,41.145
561,0.836327,40.98
562,0.867898,42.527
563,0.847,41.503
564,0.84598,41.453
565,0.84151,41.234
566,0.84302,41.308
567,0.844714,41.391
568,0.84002,41.161
569,0.845204,41.415
570,0.847878,41.546
571,0.847939,41.549
572,0.850163,41.658
573,0.850061,41.653
574,0.85449,41.87
575,0.851388,41.718
576,0.855776,41.933
577,0.849388,41.62
578,0.853673,41.83
579,0.854837,41.887
580,0.855592,41.924
581,0.855878,41.938
582,0.862082,42.242
583,0.859408,42.111
584,0.863224,42.298
585,0.864449,42.358
586,0.867408,42.503
587,0.866163,42.442
588,0.87149,42.703
589,0.870347,42.647
590,0.870592,42.659
591,0.870694,42.664
592,0.872122,42.734
593,0.874898,42.87
594,0.879327,43.087
595,0.872347,42.745
596,0.878551,43.049
597,0.87849,43.046
598,0.882694,43.252
599,0.880408,43.14
600,0.888714,43.547
601,0.888531,43.538
602,0.887857,43.505
603,0.881367,43.187
604,0.892551,43.735
605,0.885673,43.398
606,0.891122,43.665
607,0.892551,43.735
608,0.894245,43.818
609,0.894286,43.82
610,0.899327,44.067
611,0.891939,43.705
612,0.897143,43.96
613,0.893857,43.799
614,0.902857,44.24
615,0.903714,44.282
616,0.901102,44.154
617,0.901,44.149
618,0.903286,44.261
619,0.908347,44.509
620,0.910286,44.604
621,0.909388,44.56
622,0.903347,44.264
623,0.905571,44.373
624,0.907408,44.463
625,0.905265,44.358
626,0.903184,44.256
627,0.916694,44.918
628,0.913755,44.774
629,0.916449,44.906
630,0.917143,44.94
631,0.913592,44.766
632,0.916592,44.913
633,0.91898,45.03
634,0.92049,45.104
635,0.923327,45.243
636,0.921184,45.138
637,0.922571,45.206
638,0.926163,45.382
639,0.925837,45.366
640,0.926776,45.412
641,0.932592,45.697
642,0.928,45.472
643,0.931816,45.659
644,0.933082,45.721
645,0.937347,45.93
646,0.935837,45.856
647,0.937592,45.942
648,0.941673,46.142
649,0.935694,45.849
650,0.93851,45.987
651,0.940163,46.068
652,0.942102,46.163
653,0.986102,48.319
654,0.951551,46.626
655,0.950714,46.585
656,0.942143,46.165
657,0.948612,46.482
658,0.942776,46.196
659,0.94798,46.451
660,0.948449,46.474
661,0.956265,46.857
662,0.949592,46.53
663,0.953694,46.731
664,0.961245,47.101
665,0.953184,46.706
666,0.954469,46.769
667,0.957816,46.933
668,0.958878,46.985
669,0.952714,46.683
670,0.953143,46.704
671,0.955735,46.831
672,0.957429,46.914
673,0.963,47.187
674,0.964939,47.282
675,0.969143,47.488
676,0.963347,47.204
677,0.969224,47.492
678,0.965082,47.289
679,0.97102,47.58
680,0.971918,47.624
681,0.975449,47.797
682,0.972122,47.634
683,0.975061,47.778
684,0.974959,47.773
685,0.97702,47.874
686,0.977612,47.903
687,0.980469,48.043
688,0.979592,48
689,0.98149,48.093
690,0.982959,48.165
691,0.988571,48.44
692,0.987714,48.398
693,0.986061,48.317
694,0.982531,48.144
695,0.985204,48.275
696,0.987878,48.406
697,0.989,48.461
698,0.984041,48.218
699,0.991429,48.58
700,0.994837,48.747
701,0.995918,48.8
702,0.990122,48.516
703,0.999224,48.962
704,0.989776,48.499
705,0.998,48.902
706,1.00278,49.136
707,0.994673,48.739
708,0.994306,48.721
709,1.0009,49.044
710,1.00455,49.223
711,1.00441,49.216
712,1.00706,49.346
713,1.00604,49.296
714,1.00792,49.388
715,1.00461,49.226
716,1.00455,49.223
717,1.00496,49.243
718,1.01298,49.636
719,1.01759,49.862
720,1.01361,49.667
721,1.02033,49.996
722,1.00767,49.376
723,1.0239,50.171
724,1.01859,49.911
725,1.02151,50.054
726,1.02329,50.141
727,1.02629,50.288
728,1.02596,50.272
729,1.03482,50.706
730,1.01849,49.906
731,1.02776,50.36
732,1.024,50.176
733,1.03222,50.579
734,1.02863,50.403
735,1.031,50.519
736,1.02914,50.428
737,1.0411,51.014
738,1.03424,50.678
739,1.0381,50.867
740,1.03969,50.945
741,1.04259,51.087
742,1.03478,50.704
743,1.04459,51.185
744,1.04163,51.04
745,1.04208,51.062
746,1.04541,51.225
747,1.05,51.45
748,1.04406,51.159
749,1.05376,51.634
750,1.04371,51.142
751,1.05378,51.635
752,1.05431,51.661
753,1.048,51.352
754,1.04876,51.389
755,1.0531,51.602
756,1.05582,51.735
757,1.05759,51.822
758,1.05592,51.74
759,1.05937,51.909
760,1.052,51.548
761,1.05837,51.86
762,1.05902,51.892
763,1.06102,51.99
764,1.06208,52.042
765,1.06737,52.301
766,1.06494,52.182
767,1.06324,52.099
768,1.06633,52.25
769,1.06806,52.335
770,1.06824,52.344
771,1.07412,52.632
772,1.0731,52.582
773,1.07822,52.833
774,1.07094,52.476
775,1.07471,52.661
776,1.07906,52.874
777,1.0718,52.518
778,1.07633,52.74
779,1.07194,52.525
780,1.08253,53.044
781,1.07816,52.83
782,1.08231,53.033
783,1.08206,53.021
784,1.08427,53.129
785,1.08149,52.993
786,1.08222,53.029
787,1.08441,53.136
788,1.08039,52.939
789,1.08529,53.179
790,1.08524,53.177
791,1.08529,53.179
792,1.08459,53.145
793,1.08506,53.168
794,1.08971,53.396
795,1.08359,53.096
796,1.08657,53.242
797,1.08784,53.304
798,1.09435,53.623
799,1.08976,53.398
800,1.09237,53.526
801,1.09227,53.521
802,1.09953,53.877
803,1.10273,54.034
804,1.09878,53.84
805,1.08929,53.375
806,1.09627,53.717
807,1.10606,54.197
808,1.10453,54.122
809,1.10061,53.93
810,1.1021,54.003
811,1.10635,54.211
812,1.10404,54.098
813,1.11341,54.557
814,1.11145,54.461
815,1.11145,54.461
816,1.11482,54.626
817,1.11776,54.77
818,1.11502,54.636
819,1.11749,54.757
820,1.12078,54.918
821,1.12412,55.082
822,1.11773,54.769
823,1.12524,55.137
824,1.11953,54.857
825,1.12692,55.219
826,1.11653,54.71
827,1.12114,54.936
828,1.11894,54.828
829,1.12822,55.283
830,1.1239,55.071
831,1.13586,55.657
832,1.1301,55.375
833,1.12929,55.335
834,1.12398,55.075
835,1.13533,55.631
836,1.13096,55.417
837,1.13492,55.611
838,1.13549,55.639
839,1.13588,55.658
840,1.13804,55.764
841,1.14027,55.873
842,1.13631,55.679
843,1.14108,55.913
844,1.13988,55.854
845,1.14541,56.125
846,1.14161,55.939
847,1.14284,55.999
848,1.14424,56.068
849,1.14406,56.059
850,1.1418,55.948
851,1.15078,56.388
852,1.14686,56.196
853,1.14737,56.221
854,1.14659,56.183
855,1.15,56.35
856,1.15531,56.61
857,1.15404,56.548
858,1.15382,56.537
859,1.16024,56.852
860,1.1558,56.634
861,1.15947,56.814
862,1.15822,56.753
863,1.15976,56.828
864,1.16361,57.017
865,1.16522,57.096
866,1.16771,57.218
867,1.16378,57.025
868,1.16837,57.25
869,1.17002,57.331
870,1.17539,57.594
871,1.1661,57.139
872,1.1738,57.516
873,1.17035,57.347
874,1.17222,57.439
875,1.1718,57.418
876,1.17847,57.745
877,1.17224,57.44
878,1.17835,57.739
879,1.17445,57.548
880,1.17908,57.775
881,1.18106,57.872
882,1.20722,59.154
883,1.20455,59.023
884,1.18067,57.853
885,1.18357,57.995
886,1.18788,58.206
887,1.18759,58.192
888,1.18814,58.219
889,1.18771,58.198
890,1.19169,58.393
891,1.18643,58.135
892,1.19108,58.363
893,1.18896,58.259
894,1.19665,58.636
895,1.19227,58.421
896,1.19935,58.768
897,1.19278,58.446
898,1.20012,58.806
899,1.1948,58.545
900,1.20102,58.85
901,1.2021,58.903
902,1.20916,59.249
903,1.2099,59.285
904,1.2009,58.844
905,1.20602,59.095
906,1.20549,59.069
907,1.20645,59.116
908,1.21047,59.313
909,1.20841,59.212
910,1.21129,59.353
911,1.21196,59.386
912,1.21243,59.409
913,1.21216,59.396
914,1.21416,59.494
915,1.21588,59.578
916,1.2192,59.741
917,1.21535,59.552
918,1.22143,59.85
919,1.21853,59.708
920,1.22763,60.154
921,1.22565,60.057
922,1.22455,60.003
923,1.22584,60.066
924,1.22843,60.193
925,1.22841,60.192
926,1.23141,60.339
927,1.22647,60.097
928,1.23306,60.42
929,1.23169,60.353
930,1.23496,60.513
931,1.23908,60.715
932,1.23671,60.599
933,1.24098,60.808
934,1.23804,60.664
935,1.24265,60.89
936,1.23984,60.752
937,1.2442,60.966
938,1.24029,60.774
939,1.24837,61.17
940,1.24704,61.105
941,1.24282,60.898
942,1.25188,61.342
943,1.24802,61.153
944,1.25265,61.38
945,1.25237,61.366
946,1.24973,61.237
947,1.25437,61.464
948,1.25508,61.499
949,1.29982,63.691
950,1.30071,63.735
951,1.30357,63.875
952,1.30365,63.879
953,1.2942,63.416
954,1.31655,64.511
955,1.33065,65.202
956,1.29261,63.338
957,1.3028,63.837
958,1.30061,63.73
959,1.29686,63.546
960,1.30047,63.723
961,1.29722,63.564
962,1.29833,63.618
963,1.29459,63.435
964,1.30169,63.783
965,1.29518,63.464
966,1.29824,63.614
967,1.3,63.7
968,1.30188,63.792
969,1.29871,63.637
970,1.30127,63.762
971,1.29718,63.562
972,1.29904,63.653
973,1.29947,63.674
974,1.2989,63.646
975,1.29906,63.654
976,1.30349,63.871
977,1.29627,63.517
978,1.30037,63.718
979,1.30043,63.721
980,1.30406,63.899
981,1.30594,63.991
982,1.30139,63.768
983,1.3091,64.146
984,1.3042,63.906
985,1.30535,63.962
986,1.30224,63.81
987,1.31041,64.21
988,1.30282,63.838
989,1.30337,63.865
990,1.30735,64.06
991,1.30478,63.934
992,1.30727,64.056
993,1.30869,64.126
994,1.31214,64.295
995,1.30865,64.124
996,1.31455,64.413
997,1.3158,64.474
998,1.31261,64.318
999,1.30933,64.157
1000,1.31516,64.443
1001,1.31373,64.373
1002,1.31896,64.629
1003,1.31859,64.611
1004,1.31908,64.635
1005,1.31833,64.598
1006,1.31884,64.623
1007,1.32039,64.699
1008,1.32216,64.786
1009,1.31853,64.608
1010,1.31898,64.63
1011,1.32602,64.975
1012,1.32176,64.766
1013,1.32,64.68
1014,1.32596,64.972
1015,1.32427,64.889
1016,1.32304,64.829
1017,1.32749,65.047
1018,1.32912,65.127
1019,1.32669,65.008
1020,1.32918,65.13
1021,1.32841,65.092
1022,1.33145,65.241
1023,1.33253,65.294
1024,1.3349,65.41
1025,1.33045,65.192
1026,1.33508,65.419
1027,1.33606,65.467
1028,1.34137,65.727
1029,1.33716,65.521
1030,1.33951,65.636
1031,1.33212,65.274
1032,1.34476,65.893
1033,1.34341,65.827
1034,1.34863,66.083
1035,1.34122,65.72
1036,1.34676,65.991
1037,1.34165,65.741
1038,1.35006,66.153
1039,1.34624,65.966
1040,1.35276,66.285
1041,1.34898,66.1
1042,1.35071,66.185
1043,1.35078,66.188
1044,1.35137,66.217
1045,1.35808,66.546
1046,1.35988,66.634
1047,1.355,66.395
1048,1.36176,66.726
1049,1.35647,66.467
1050,1.36408,66.84
1051,1.35737,66.511
1052,1.36639,66.953
1053,1.36396,66.834
1054,1.3688,67.071
1055,1.4021,68.703
1056,1.38761,67.993
1057,1.36718,66.992
1058,1.36967,67.114
1059,1.37351,67.302
1060,1.37412,67.332
1061,1.37571,67.41
1062,1.37522,67.386
1063,1.37024,67.142
1064,1.3751,67.38
1065,1.37373,67.313
1066,1.37396,67.324
1067,1.37416,67.334
1068,1.37635,67.441
1069,1.375,67.375
1070,1.38376,67.804
1071,1.37773,67.509
1072,1.38339,67.786
1073,1.38759,67.992
1074,1.38763,67.994
1075,1.3888,68.051
1076,1.38339,67.786
1077,1.38798,68.011
1078,1.38859,68.041
1079,1.39524,68.367
1080,1.39373,68.293
1081,1.39784,68.494
1082,1.39539,68.374
1083,1.39463,68.337
1084,1.39814,68.509
1085,1.39673,68.44
1086,1.39961,68.581
1087,1.41176,69.176
1088,1.44294,70.704
1089,1.40114,68.656
1090,1.40447,68.819
1091,1.40341,68.767
1092,1.41129,69.153
1093,1.40804,68.994
1094,1.4142,69.296
1095,1.40392,68.792
1096,1.41539,69.354
1097,1.41176,69.176
1098,1.41431,69.301
1099,1.41533,69.351
1100,1.41394,69.283
1101,1.41245,69.21
1102,1.42163,69.66
1103,1.41555,69.362
1104,1.42445,69.798
1105,1.42071,69.615
1106,1.42249,69.702
1107,1.41969,69.565
1108,1.42527,69.838
1109,1.42396,69.774
1110,1.42467,69.809
1111,1.42124,69.641
1112,1.42818,69.981
1113,1.42786,69.965
1114,1.42831,69.987
1115,1.42745,69.945
1116,1.43149,70.143
1117,1.42998,70.069
1118,1.43004,70.072
1119,1.43637,70.382
