version,ms,offset
9,0.789,2
9,0.805,4
9,0.778,8
9,0.781,16
9,0.797,32
9,0.342,64
9,0.91,128
9,0.303,256
9,0.582,512
9,0.712,1024
9,1.248,2048
9,0.551,4096
