##ver, min, mean, max, stddev, count, total
0 0.0 7.7 20.0 4.258245303082537 50 385.0
1 0.0 7.0 19.0 4.2185208743524 50 350.0
2 0.0 7.239999999999999 21.0 4.9469017308507235 50 362.0
3 0.0 7.040000000000001 17.0 4.10057238413749 50 352.0
4 0.0 7.239999999999998 22.0 4.938643951696927 50 362.0
5 0.0 6.919999999999999 21.0 4.788762355552756 50 346.0
6 0.0 7.4 18.0 4.318918987951707 50 370.0
7 0.0 6.4399999999999995 17.0 3.9803599468041133 50 322.0
8 0.0 6.959999999999999 19.0 3.9997959131609173 50 348.0
9 0.0 7.580000000000001 22.0 5.174860739524242 50 379.0
