##ver, min, mean, max, stddev, count, total
0 0.0 5.4651162790697665 21.0 6.295685738243981 43 235.0
1 0.0 5.325581395348839 21.0 6.236302820439129 43 229.0
2 0.0 5.767441860465118 29.0 7.046908168032427 43 248.0
3 0.0 5.44186046511628 20.0 6.2955098344220355 43 234.0
4 0.0 4.55813953488372 21.0 5.704227027395252 43 196.0
5 0.0 5.232558139534882 19.0 6.263413071170599 43 225.0
6 0.0 5.604651162790699 19.0 5.924684178376978 43 241.0
7 0.0 5.27906976744186 30.0 6.919006195481535 43 227.0
8 0.0 5.348837209302326 22.0 6.428669865125519 43 230.0
9 0.0 5.046511627906975 21.0 5.879558974277276 43 217.0
