##ver, min, mean, max, stddev, count, total
0 0.0 0.5200000000000002 4.0 0.8628382211738 50 26.0
1 0.0 0.76 10.0 1.7090395918557908 50 38.0
2 0.0 0.6800000000000003 10.0 1.9737046901909192 50 34.0
3 0.0 0.5 9.0 1.4603605928757766 50 25.0
4 0.0 0.3799999999999998 7.0 1.3981036719610689 50 19.0
5 0.0 0.7000000000000003 8.0 1.5016997172591877 50 35.0
6 0.0 0.5599999999999997 6.0 1.1277573917708894 50 28.0
7 0.0 0.5599999999999996 8.0 1.4165206007132036 50 28.0
8 0.0 0.5599999999999997 9.0 1.5274361605284172 50 28.0
9 0.0 0.4599999999999997 9.0 1.3125765283811632 50 23.0
