##ver, min, mean, max, stddev, count, total
0 0.0 8.520000000000001 19.0 4.464097138874346 50 426.0
1 1.0 8.660000000000002 26.0 5.016747462454216 50 433.0
2 0.0 9.020000000000001 24.0 4.888512147924783 50 451.0
3 1.0 8.559999999999999 28.0 4.563206892401126 50 428.0
4 4.0 9.400000000000002 23.0 4.53107186490106 50 470.0
5 0.0 8.9 22.0 5.327058383424022 50 445.0
6 0.0 9.34 24.0 5.141309290880076 50 467.0
7 0.0 8.339999999999998 19.0 4.515777330422657 50 417.0
8 0.0 8.36 19.0 4.889639192064322 50 418.0
9 0.0 9.239999999999998 23.0 4.564995473543143 50 462.0
