version,ms
0,820.8333333333334
1,912.8333333333334
2,890.8333333333334
3,961.6666666666666
4,819.8333333333334
5,725.1666666666666
6,701.3333333333334
7,690.8333333333334
8,799.8333333333334
9,785.3333333333334
10,833.5
11,880.0
12,800.6666666666666
13,989.8333333333334
14,895.8333333333334
15,720.8333333333334
16,774.3333333333334
17,901.8333333333334
18,808.0
19,935.0
20,907.0
21,998.8333333333334
22,944.6666666666666
23,897.6666666666666
24,916.1666666666666
25,986.6666666666666
26,908.0
27,782.0
28,1053.0
29,874.8333333333334
30,759.5
31,563.5
32,1059.3333333333333
33,1003.6666666666666
34,1040.8333333333333
35,1086.0
36,1050.3333333333333
37,1015.0
38,1039.8333333333333
39,906.5
40,973.5
41,989.0
42,987.6666666666666
43,885.5
44,1134.5
45,940.0
46,990.8333333333334
47,887.8333333333334
48,940.5
49,958.0
50,973.5
51,985.5
52,940.8333333333334
53,1004.6666666666666
54,1005.3333333333334
55,850.5
56,914.5
57,938.3333333333334
