patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,289,309,0
1,0,-2,374,369,0
2,0,-2,374,371,0
3,0,-2,376,372,0
4,0,-2,3130,373,0
5,0,-2,3,2,0
6,0,-2,502,435,0
7,0,-2,432,432,0
8,0,-2,437,423,0
9,0,-2,427,421,0
