<version>,<mean_time>,<total>
0,0.0333077,0.433
1,0.0275385,0.358
2,0.0281538,0.366
3,0.0318462,0.414
4,0.0285385,0.371
5,0.0328462,0.427
6,0.0296923,0.386
7,0.0349231,0.454
8,0.0283077,0.368
9,0.0335385,0.436
10,0.0276923,0.36
11,0.0273846,0.356
12,0.0270769,0.352
13,0.0293846,0.382
14,0.028,0.364
15,0.0331538,0.431
16,0.0303077,0.394
17,0.0369231,0.48
18,0.0261538,0.34
19,0.0354615,0.461
20,0.0267692,0.348
21,0.0289231,0.376
22,0.0293077,0.381
23,0.0282308,0.367
24,0.0291538,0.379
25,0.0346923,0.451
26,0.0280769,0.365
27,0.0309231,0.402
28,0.0236154,0.307
29,0.0264615,0.344
30,0.0321538,0.418
31,0.0374615,0.487
32,0.0251538,0.327
33,0.0272308,0.354
34,0.0298462,0.388
35,0.0309231,0.402
36,0.0266923,0.347
37,0.0272308,0.354
38,0.032,0.416
39,0.0323077,0.42
40,0.0276154,0.359
41,0.0297692,0.387
42,0.0282308,0.367
43,0.027,0.351
44,0.0238462,0.31
45,0.0244615,0.318
46,0.0282308,0.367
47,0.0236154,0.307
48,0.0296923,0.386
49,0.0295385,0.384
50,0.0303077,0.394
51,0.0233077,0.303
52,0.0258462,0.336
53,0.0294615,0.383
54,0.0283846,0.369
55,0.0287692,0.374
56,0.021,0.273
57,0.0195385,0.254
58,0.0292308,0.38
59,0.0299231,0.389
60,0.0260769,0.339
61,0.0280769,0.365
62,0.0268462,0.349
63,0.0294615,0.383
64,0.028,0.364
65,0.0269231,0.35
66,0.0232308,0.302
67,0.0293077,0.381
68,0.0268462,0.349
69,0.0246923,0.321
70,0.029,0.377
71,0.0308462,0.401
72,0.0315385,0.41
73,0.0253077,0.329
74,0.0293077,0.381
75,0.0319231,0.415
76,0.0273846,0.356
77,0.0265385,0.345
78,0.0270769,0.352
79,0.0311538,0.405
80,0.0251538,0.327
81,0.0314615,0.409
82,0.0293077,0.381
83,0.0246154,0.32
84,0.0257692,0.335
85,0.0262308,0.341
86,0.0247692,0.322
87,0.0301538,0.392
