<version>,<mean_time>,<total>
0,0.015,0.195
1,0.013,0.169
2,0.0123077,0.16
3,0.0123077,0.16
4,0.0122308,0.159
5,0.0114615,0.149
6,0.012,0.156
7,0.0123077,0.16
8,0.0116154,0.151
9,0.0117692,0.153
10,0.0117692,0.153
11,0.0116923,0.152
12,0.0110769,0.144
13,0.0132308,0.172
14,0.0128462,0.167
15,0.0133846,0.174
16,0.0127692,0.166
17,0.0131538,0.171
18,0.0110769,0.144
19,0.0126154,0.164
20,0.0103846,0.135
21,0.0116154,0.151
22,0.0120769,0.157
23,0.012,0.156
24,0.0120769,0.157
25,0.0115385,0.15
26,0.0120769,0.157
27,0.0125385,0.163
28,0.0114615,0.149
29,0.0106923,0.139
30,0.0116154,0.151
31,0.0115385,0.15
32,0.0126923,0.165
33,0.0119231,0.155
34,0.0118462,0.154
35,0.0112308,0.146
36,0.011,0.143
37,0.0113077,0.147
38,0.0119231,0.155
39,0.0120769,0.157
40,0.0120769,0.157
41,0.0118462,0.154
42,0.0115385,0.15
43,0.0132308,0.172
44,0.0107692,0.14
45,0.0103077,0.134
46,0.011,0.143
47,0.0113077,0.147
48,0.0109231,0.142
49,0.0109231,0.142
50,0.0116923,0.152
51,0.0114615,0.149
52,0.0106923,0.139
53,0.0106154,0.138
54,0.0114615,0.149
55,0.012,0.156
56,0.01,0.13
57,0.0103077,0.134
58,0.0113077,0.147
59,0.0108462,0.141
60,0.00992308,0.129
61,0.011,0.143
62,0.0106923,0.139
63,0.0109231,0.142
64,0.0105385,0.137
65,0.0113077,0.147
66,0.00984615,0.128
67,0.011,0.143
68,0.0111538,0.145
69,0.0110769,0.144
70,0.0110769,0.144
71,0.0104615,0.136
72,0.0113846,0.148
73,0.0101538,0.132
74,0.0106154,0.138
75,0.011,0.143
76,0.0102308,0.133
77,0.0104615,0.136
78,0.00961538,0.125
79,0.0105385,0.137
80,0.0103846,0.135
81,0.0106923,0.139
82,0.0106154,0.138
83,0.0106154,0.138
84,0.0110769,0.144
85,0.0110769,0.144
86,0.0109231,0.142
87,0.0106154,0.138
