version,added,durationms,rate,accsize,durationmin,accsizegb
0,30035245,472724,63,744743832,7.87873,0.693597
01,16259671,1571675,10,1148563801,26.1946,1.06968
02,14904445,7100982,2,1622897416,118.35,1.51144
03,14685341,10081832,1,2075686499,168.031,1.93313
04,17090306,12856568,1,2464618901,214.276,2.29536
05,13221294,15493364,0,2940386035,258.223,2.73845
06,14825275,17441814,0,3449973905,290.697,3.21304
07,15889687,20211196,0,3883629314,336.853,3.61691
08,15147259,23661266,0,4406965476,394.354,4.10431
09,13489672,26518473,0,4820517171,441.975,4.48946
