patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,2,141,78
1,0,-2,504,1737,75
2,0,-2,433,1479,75
3,0,-2,421,1455,75
4,0,-2,455,1504,75
5,0,-2,371,1410,75
6,0,-2,363,1387,75
7,0,-2,330,1369,75
8,0,-2,307,1340,75
9,0,-2,290,1325,75
