versionstart,versionend,ms
0,0,0.6153846153846154
0,1,0.3076923076923077
0,2,0.15384615384615385
0,3,0.07692307692307696
0,4,0.07692307692307693
0,5,0
0,6,0.3076923076923077
0,7,0.07692307692307693
0,8,0.07692307692307693
0,9,0
0,10,0.23076923076923075
0,11,0
0,12,0.15384615384615385
0,13,0.07692307692307693
0,14,0.07692307692307693
0,15,0.15384615384615385
0,16,0.07692307692307693
0,17,0
0,18,0.23076923076923075
0,19,0.15384615384615385
0,20,0.07692307692307693
0,21,0.07692307692307693
0,22,0.23076923076923073
0,23,0.07692307692307693
0,24,0.23076923076923073
0,25,0.15384615384615385
0,26,0.07692307692307696
0,27,0
0,28,0.15384615384615385
0,29,0.07692307692307696
0,30,0
0,31,0
0,32,0.23076923076923073
0,33,0
0,34,0.07692307692307694
0,35,0.07692307692307696
0,36,0
0,37,0.3076923076923077
0,38,0.15384615384615385
0,39,0.15384615384615385
0,40,0.07692307692307693
0,41,0.3076923076923077
0,42,0
0,43,0
0,44,0.3076923076923077
0,45,0
0,46,0.23076923076923073
0,47,0
0,48,0.3076923076923077
0,49,0.07692307692307693
0,50,0.07692307692307694
0,51,0.07692307692307696
0,52,0.15384615384615385
0,53,0.15384615384615385
0,54,0
0,55,0.07692307692307696
0,56,0.07692307692307693
0,57,0.15384615384615385
0,58,0.15384615384615385
0,59,0.07692307692307696
0,60,0
0,61,0.3076923076923077
0,62,0
0,63,0.07692307692307694
0,64,0.23076923076923073
0,65,0.07692307692307693
0,66,0.07692307692307696
0,67,0.07692307692307696
0,68,0.15384615384615385
0,69,0.07692307692307693
0,70,0.15384615384615385
0,71,0.07692307692307694
0,72,0.23076923076923075
0,73,0.07692307692307693
0,74,0.15384615384615385
0,75,0.07692307692307696
0,76,0.07692307692307694
0,77,0.23076923076923075
0,78,0.07692307692307693
0,79,0.07692307692307696
0,80,0.07692307692307696
0,81,0.07692307692307696
0,82,0.07692307692307694
0,83,0.3076923076923077
0,84,0.07692307692307694
0,85,0
0,86,0.07692307692307696
0,87,0
0,88,0.23076923076923075
0,89,0
0,90,0.15384615384615385
0,91,0.07692307692307693
0,92,0
0,93,0.07692307692307696
0,94,0.15384615384615385
0,95,0.4615384615384615
0,96,0
0,97,0.07692307692307693
0,98,0
0,99,0
0,100,0.15384615384615385
0,101,0.15384615384615385
0,102,0.3076923076923077
0,103,0.15384615384615385
0,104,0.15384615384615385
0,105,0.07692307692307696
0,106,0.07692307692307696
0,107,0.07692307692307693
0,108,0
0,109,0.15384615384615385
0,110,0
0,111,0
0,112,0.07692307692307693
0,113,0.07692307692307696
0,114,0.23076923076923075
0,115,0.07692307692307693
0,116,0.15384615384615385
0,117,0.07692307692307693
0,118,0
0,119,0
0,120,0.07692307692307693
0,121,0.3076923076923077
0,122,0.07692307692307693
0,123,0.23076923076923073
0,124,0.07692307692307693
0,125,0.23076923076923075
0,126,0.07692307692307696
0,127,0.07692307692307693
0,128,0
0,129,0.15384615384615385
0,130,0.15384615384615385
0,131,0
0,132,0.3076923076923077
0,133,0.23076923076923073
0,134,0
0,135,0.15384615384615385
0,136,0.07692307692307693
0,137,0.15384615384615385
0,138,0
0,139,0.07692307692307693
0,140,0.23076923076923075
0,141,0
0,142,0.07692307692307696
0,143,0.15384615384615385
0,144,0.15384615384615385
0,145,0.23076923076923073
0,146,0.07692307692307694
0,147,0.23076923076923075
0,148,0
0,149,0
0,150,0.15384615384615385
0,151,0.07692307692307693
0,152,0.3076923076923077
0,153,0
0,154,0.15384615384615385
0,155,0
0,156,0.07692307692307693
0,157,0.15384615384615385
0,158,0.07692307692307693
0,159,0.23076923076923073
0,160,0.15384615384615385
0,161,0.07692307692307693
0,162,0.15384615384615385
0,163,0
0,164,0
0,165,0.15384615384615385
0,166,0
0,167,0.3076923076923077
0,168,0
0,169,0.07692307692307696
0,170,0.07692307692307696
0,171,0
0,172,0.15384615384615385
0,173,0.07692307692307693
0,174,0.07692307692307693
0,175,0.23076923076923073
0,176,0.23076923076923075
0,177,0.23076923076923075
0,178,0.07692307692307694
0,179,0.15384615384615385
0,180,0.07692307692307696
0,181,0.15384615384615385
0,182,0.15384615384615385
0,183,0
0,184,0.23076923076923075
0,185,0.07692307692307693
0,186,0.23076923076923073
0,187,0.07692307692307693
0,188,0.07692307692307693
0,189,0.15384615384615385
0,190,0
0,191,0.07692307692307693
0,192,0.23076923076923075
0,193,0.07692307692307693
0,194,0.23076923076923075
0,195,0
0,196,0.07692307692307696
0,197,0.15384615384615385
0,198,0.15384615384615385
0,199,0.15384615384615385
0,200,0.15384615384615385
0,201,0.07692307692307693
0,202,0.15384615384615385
0,203,0.07692307692307694
0,204,0.15384615384615385
0,205,0
0,206,0.23076923076923075
0,207,0.23076923076923075
0,208,0
0,209,0.07692307692307696
0,210,0
0,211,0.07692307692307693
0,212,0
0,213,0.07692307692307696
0,214,0.07692307692307693
0,215,0.07692307692307693
0,216,0.07692307692307696
0,217,0.07692307692307693
0,218,0.15384615384615385
0,219,0.07692307692307693
0,220,0
0,221,0.07692307692307696
0,222,0
0,223,0.15384615384615385
0,224,0.23076923076923075
0,225,0
0,226,0.07692307692307693
0,227,0.15384615384615388
0,228,0.07692307692307693
0,229,0
0,230,0.15384615384615385
0,231,0.07692307692307693
0,232,0.07692307692307696
0,233,0.15384615384615385
0,234,0
0,235,0.07692307692307693
0,236,0
0,237,0.23076923076923073
0,238,0.07692307692307694
0,239,0.15384615384615385
0,240,0
0,241,0.07692307692307693
0,242,0.07692307692307693
0,243,0
0,244,0.07692307692307696
0,245,0.23076923076923073
0,246,0.07692307692307693
0,247,0
0,248,0.15384615384615385
