version,added,durationms,rate,accsize,durationmin,accsizegb
0,0,8,0,744743832,0.000133333,0.693597
1,30035245,1469384,2,1148563801,24.4897,1.06968
2,15051525,7010394,0,1622897416,116.84,1.51144
3,13643902,9394394,0,2075686499,156.573,1.93313
4,13312979,11392939,0,2464618901,189.882,2.29536
5,15505700,3381222,4,4029399678,56.3537,3.75267
6,12129189,2738394,1,4329129811,45.6399,4.03182
7,14421674,5282947,1,4518297787,88.0491,4.20799
8,14523054,8392947,1,5011381934,139.882,4.66721
9,13670061,12128355,0,5298111051,202.139,4.93425
